Company,Funding ($M),OTE,Title,Segment,HQ,Remote,RepVue,Industry,Job Posting URL,Date Added,Posted,Location,Status
Oversee,,$180-220K,,Ent,,Y,,Travel spend optimization SaaS,https://apply.workable.com/oversee-1/j/9CD356F5D8,2026-07-10,,Remote,Verified
BriteCore,,,Enterprise Account Executive,Ent,,Y,,P&C insurance SaaS,https://jobs.lever.co/britecore/92826599-37d4-4967-a282-5b6009e1c9f7,2026-07-10,2024-11-06,Remote,Verified
Swapcard,,"$90,000-$100,000",Account Executive - Mid Market - US,MM,Paris France,Y,78,Event management SaaS,https://jobs.lever.co/swapcard/0787516a-c547-4f84-9cf1-fdf8f7f59717,2026-07-09,2023-12-06,Remote,Verified
Ketch,,~$300-350K,Enterprise Account Executive,Ent,Chicago IL,Y,90.57,Data privacy / compliance SaaS,https://jobs.lever.co/Ketch/700cedd8-13bd-45b5-9f30-adc0a92b4d11,2026-07-09,2026-08-19,Remote,Verified
Gray Swan AI,,$314-384K,Senior Account Executive - AI Security,Ent,Pittsburgh PA,Y,,AI security SaaS,https://jobs.ashbyhq.com/Gray%20Swan%20AI/23c94780-c876-4bf6-8d1e-09dc6156b274,2026-07-09,2026-07-08,Remote,Verified
Edia,,$250K OTE with equity and commission,"Account Executive, East",Ent,,Y,,K-12 edtech / AI platform,https://jobs.ashbyhq.com/edia/e25f3465-ec2e-4502-af42-b84adb7264e9,2026-07-09,2025-12-01,Remote,Verified
OfficeSpace Software,,,"Account Executive, Mid-Market",MM/Ent,,Y,78,workplace management SaaS,https://job-boards.greenhouse.io/officespacesoftware/jobs/5368943008,2026-07-08,2026-07-23,Remote,Verified
LTK,,,Account Executive,MM/Ent,Dallas TX,Y,92.73,Creator/influencer marketing platform,https://job-boards.greenhouse.io/shopltk/jobs/7797682003,2026-07-08,2026-07-07,Remote,Verified
Atrium Campus,,,Sales Account Executive: Southeast and Mid-Atlantic US,MM/Ent,,Y,,campus management / higher ed SaaS,https://job-boards.greenhouse.io/atriumcampus/jobs/4178770009,2026-07-08,2026-03-11,Remote,Verified
Adaptive Security,,"$80,000-$150,000",Senior Account Executive (Remote),MM/Ent,New York,Y,94.51,Cybersecurity SaaS,https://jobs.ashbyhq.com/adaptivesecurity/84d1c461-df52-443e-b450-370429f9a7c6,2026-07-08,2025-07-18,Remote,Verified
Dash0,,~$250K-$300K,Enterprise Account Executive - West Coast,Ent,Hamburg Germany,Y,,Observability / DevOps SaaS,https://jobs.ashbyhq.com/dash0/4dca86e7-eaa7-4e70-bd55-edf2acd9675c,2026-07-08,2025-09-08,Remote,Verified
Acceldata,,"$300,000-$350,000 USD annually (appears to be OTE)",Enterprise Account Executive - NY Metro,Ent,San Jose,Y,93.96,Data observability,https://jobs.lever.co/acceldata/d30b142c-545e-4da7-a370-d9af33261373,2026-07-08,2024-01-20,Remote,Verified
Taxwire,,$200-250K,Account Executive,MM,"New York, NY",Y,,Indirect tax compliance SaaS,https://jobs.ashbyhq.com/taxwire/c00267d1-544c-4ab6-b677-1d91c6cef21a,2026-07-07,2026-06-30,Remote,Verified
SentiLink,,$200-250K,"Mid-Market Account Executive, FinTech",MM,,Y,,Software (Identity Verification / Fintech),https://jobs.ashbyhq.com/sentilink/042f6536-1aa2-4509-9a3a-82129fcbbbc3,2026-07-07,2026-05-29,Remote,Verified
Rithum,,"$90,000-$150,000","Account Executive, Mid-Market - Hunter - Eastern or Central US",MM,,Y,71,Software (eCommerce / Retail Media),https://job-boards.greenhouse.io/rithum/jobs/8024519,2026-07-07,2026-06-24,Remote,Verified
Restaurant365,,"$90,000-$110,000","Account Executive, Mid Market",MM,,Y,79,Software (Restaurant Management),https://jobs.lever.co/restaurant365/784eafb3-7f63-4896-8742-03bcdcda19b5,2026-07-07,2026-04-06,Remote,Verified
Mimica,,,"Account Executive, Mid-Market",MM,,Y,,Software (Process Automation / Task Mining),https://jobs.ashbyhq.com/mimica/639bb362-4417-467f-a7fa-525af7d4dcf4,2026-07-07,2026-04-14,Remote,Verified
Vibes,,base $120K-$240K + comm (OTE unstated),Enterprise Account Executive - Platform,Ent,"Chicago, IL",Y,,Mobile marketing / CX SaaS,https://job-boards.greenhouse.io/vibesllc/jobs/8742319002,2026-07-07,2026-08-27,Remote,Verified
Finix,,$200-300K,Enterprise Account Executive,Ent,,Y,,Software (Payments Infrastructure),https://jobs.lever.co/finix/44827c17-871d-4db4-9fc5-81783971f98b,2026-07-07,2021-08-03,Remote,Verified
Agiloft,,,Enterprise Account Executive - Healthcare,Ent,"Redwood City, CA",Y,80,Contract lifecycle management (CLM) SaaS,https://jobs.lever.co/agiloft/9fad3021-206f-462b-a6ce-502362981dde,2026-07-06,2026-06-29,Remote,Verified
Medallion,,$290-320K,Enterprise Account Executive,Ent,"San Francisco, CA",Y,80,Healthcare SaaS,https://job-boards.greenhouse.io/medallionakafirstlayerai/jobs/4056201009,2026-07-06,2025-11-24,Remote,Verified
DataGrail,,$260K-$290K,Enterprise Account Executive,Ent,"San Francisco, CA",Y,81,Data privacy / compliance SaaS,https://job-boards.greenhouse.io/datagrail/jobs/7778458003,2026-07-06,2026-06-18,Remote,Verified
"Tellius, Inc.",,,Account Executive - Enterprise,Ent,,Y,81,AI analytics / decision intelligence SaaS,https://job-boards.greenhouse.io/tellius/jobs/4826311007,2026-07-05,2025-08-12,Remote,Verified
Eleos Health,,,,Ent,Burlington MA,Y,81,Behavioral health SaaS,https://job-boards.eu.greenhouse.io/eleoshealth/jobs/4791600101,2026-07-05,2026-02-26,Remote,Verified
Grace Hill,,$145K,,MM,,Y,82,Property management SaaS,https://gracehill.applytojob.com/apply/pCSI71nTid/Account-Executive,2026-07-04,,Remote,Verified
Fello,,,,MM,,Y,82,Real estate marketing / CRM SaaS,https://fello.rippling-ats.com/job/776922/senior-account-executive,2026-07-04,,Remote,Verified
Dovetail,,,Account Executive (Mid-market),MM,"Sydney, Australia",Y,82,User research / product insights SaaS,https://jobs.ashbyhq.com/dovetail/f963c62b-100d-47df-b5aa-954464065bb2,2026-07-04,2026-05-29,Remote,Verified
Bitwarden,100,,,MM,"Santa Barbara, CA",Y,81,Security SaaS (password management),https://bitwarden.com/careers/7824392003/?gh_jid=7824392003,2026-07-04,2026-08-03,Remote,Verified
Pushpay,,$180K-$200K,"Account Executive, Enterprise",Ent,"Redmond, WA",Y,82,Donor engagement SaaS (faith organizations),https://job-boards.greenhouse.io/pushpay/jobs/8051229,2026-07-04,2026-07-08,Remote,Verified
Lumos,,"OTE $260,000-$340,000 (~50/50 base/variable)",Enterprise Account Executive (South Central),Ent,"San Francisco, CA",Y,82,SaaS management / app governance,https://jobs.ashbyhq.com/lumos/b7627db2-4794-4386-9348-bd26aa1c15e5,2026-07-04,2026-05-21,Remote,Verified
Deepgram,215,$300-340K,Corporate Account Executive,MM,San Francisco,Y,96,Voice AI / speech infra,https://jobs.ashbyhq.com/Deepgram/91ea80f4-cc54-4c52-8ef5-d2c2b2764640,2026-07-04,2025-09-05,Remote,Verified
DailyPay,,$125K stated salary plus commission and equity (appears to be base),Enterprise Account Executive,Ent,"New York, NY",Y,82,Earned wage access / HR benefits SaaS,https://jobs.ashbyhq.com/dailypay/85c57e2b-2535-4f66-91b5-d36f71dda1ce,2026-07-04,2026-06-17,Remote,Verified
ControlUp,,,Commercial Account Executive - US West,MM,"Santa Clara, CA",Y,83,Software (IT Operations / Digital Employee Experience SaaS),https://jobs.lever.co/controlup/59b39087-15e5-4ea5-ba36-e68e10863053,2026-07-03,2026-04-24,Remote,Verified
Addepar,415,"$128,000-$160,000 base",Account Executive - Core,MM,"Mountain View, CA",Y,82,Wealth management / investment data SaaS,https://job-boards.greenhouse.io/addepar1/jobs/8632956002,2026-07-03,2026-08-14,Remote,Verified
Fonoa,,,Enterprise Account Executive,Ent,"Dublin, Ireland (US remote team)",Y,82,Tax automation SaaS,https://jobs.ashbyhq.com/fonoa/67b4083d-7122-419b-a4cc-d6e808f80b1f,2026-07-03,2026-05-26,Remote,Verified
Fieldguide,,$280K-$340K (base $140K-$170K 50/50),Global Account Executive,Ent,"San Francisco, CA",Y,82,Audit/advisory workflow SaaS,https://jobs.ashbyhq.com/fieldguide/cc21b7a2-530c-4a45-9458-aa37bfebea4e,2026-07-03,2025-12-12,Remote,Verified
CreatorIQ,,"$121,000-$145,000","Account Executive, Enterprise",Ent,"Los Angeles, CA",Y,83,Software (B2B Influencer Marketing / Creator Intelligence SaaS),https://jobs.ashbyhq.com/creatoriq/123df564-db11-46f0-b59a-0659b1491ce4,2026-07-03,2026-05-04,Remote,Verified
TrustArc,,,Account Executive,MM/Ent,"San Francisco, CA",Y,83.54,Software (Data Privacy SaaS),https://jobs.lever.co/trustarc/86de7104-e6a0-4a23-953d-7c7b66ac514b,2026-07-02,2026-04-29,Remote,Verified
Procore Technologies,,$174K-$240K,,MM,"Carpinteria, CA",Y,83.20,Software,https://careers.procore.com/jobs/commercial-account-executive-us-remote-ma-massachusetts-united-states,2026-07-02,,Remote,Verified
Portnox,,,,MM/MM-Ent,"Austin, TX (R&D Israel)",Y,83.17,Information Technology and Services,https://portnox.pinpointhq.com/jobs/209552,2026-07-02,,Remote,Verified
Figma,,"$110,000","Account Executive, Mid-Market",MM,"San Francisco, CA",Y,83.82,Software,https://job-boards.greenhouse.io/figma/jobs/5422236004,2026-07-02,2025-01-22,Remote,Verified
Datarails,,,Account Executive,MM,New York,Y,83,FP&A software,https://job-boards.greenhouse.io/datarails/jobs/4302569009,2026-07-02,2026-07-02,Remote,Verified
Obsidian Security,,"$164,000-$170,000 base",Enterprise Account Executive - East (New York),Ent,"Newport Beach, CA",Y,83.16,Software,https://job-boards.greenhouse.io/obsidiansecurity/jobs/4822499008,2026-07-02,2025-08-27,Remote,Verified
Forma.ai,,$100K-$120K base + commission and bonus,Account Executive,Ent,Toronto,Y,83,Sales performance management,https://job-boards.greenhouse.io/formaaiinc/jobs/4295669005,2026-07-02,2023-07-18,Remote,Verified
Datch,,,,Ent,"San Francisco, CA",Y,83.60,Software,https://www.datch.io/jobs/account-executive,2026-07-02,,Remote,Needs check
Akamai,,"$157,900-$328,100",,Ent,"Cambridge, MA",Y,83.15,Software,https://jobs.akamai.com/en/sites/CX_1/job/2065,2026-07-02,,Remote,Verified
Vividly,,$200K,,MM/Ent,"San Francisco, CA",Y,84.20,Software,https://ats.rippling.com/vividly/jobs/70e228c8-d43e-49fd-b935-706f43b07323,2026-07-01,,Remote,Verified
Breezeway,,,"Territory Account Executive, Carolinas",MM/Ent,"Boston, MA",Y,85.09,Internet / Hospitality SaaS,https://job-boards.greenhouse.io/breezeway/jobs/5375214008,2026-07-01,2026-07-30,Remote,Verified
Vertex Inc.,,$160K-$300K,,Ent,"King of Prussia, PA",Y,85.83,Software (Tax Technology SaaS),https://builtin.com/job/enterprise-account-executive-southeast/10403288,2026-07-01,,Remote,Needs check
Verifiable,,,Enterprise Account Executive,Ent,"Austin, TX (fully remote)",Y,84.88,Healthcare Credentialing SaaS,https://jobs.lever.co/verifiable/5a01eded-7e4c-473d-8dd5-0711cd08ebb0,2026-07-01,2025-08-05,Remote,Verified
Turquoise Health,,$220K-$245K,"Senior Enterprise Account Executive, Payer",Ent,"San Diego, CA (fully remote company)",Y,84.93,Healthcare SaaS / Price Transparency,https://jobs.ashbyhq.com/turquoise-health/a25eb0dd-89bd-4a59-94a2-f8439fe3f10b,2026-07-01,2026-03-18,Remote,Verified
Taulia,,"Base $135,000-$160,000",,Ent,"San Francisco, CA",Y,86.21,Finance / Fintech SaaS,https://careers.taulia.com/job/Regional-Account-Executive-%28Midwest%29/1354118500/,2026-07-01,,Remote,Verified
Smartling,,"$200,000-$240,000","Enterprise Account Executive, US",Ent,"New York, NY",Y,84.46,Software,https://job-boards.greenhouse.io/smartling/jobs/7438991,2026-07-01,2025-12-03,Remote,Verified
Juniper Square,,,"Account Executive, Private Equity",Unspec,"San Francisco, CA",Y,85.00,Information Technology and Services,https://jobs.ashbyhq.com/junipersquare/f4864a91-dfc8-47f4-b0af-ae3fb3f65557,2026-07-01,2026-04-21,Remote,Verified
FireMon,,,Enterprise Account Executive - Pacific NW,Ent,"Overland Park, KS",Y,85.31,Software (Cybersecurity),https://jobs.lever.co/firemon/c5c7c67f-617d-4740-ba8c-94d071de60ee,2026-07-01,2026-02-17,Remote,Verified
Endor Labs,,$240K-$320K,Enterprise Account Executive,Ent,"Palo Alto, CA",Y,84.84,Software / Application Security,https://job-boards.greenhouse.io/endorlabs/jobs/4704667005,2026-07-01,2026-06-10,Remote,Verified
Crunchtime (Zenput),,$200K-$240K,Emerging Enterprise Account Executive,Ent,"Boston, MA",Y,79.59,Restaurant Operations SaaS,https://boards.greenhouse.io/zenput/jobs/5792748004,2026-07-01,2026-02-04,Remote,Verified
AcuityMD,,"$240,000-$300,000",Enterprise Account Executive,Ent,"Boston, MA",Y,84.53,Medical Device SaaS,https://job-boards.greenhouse.io/acuitymd/jobs/5722026004,2026-07-01,2025-11-25,Remote,Verified
Stripe,,$239K-$358K,,MM/Ent,"San Francisco, CA",Y,87.83,Internet / Fintech SaaS (Payments Infrastruct,https://stripe.com/jobs/search?gh_jid=7298935,2026-06-30,,Remote,Verified
Snapdocs,,$300K ($150K base + $150K variable),Enterprise Account Executive,Ent,"San Francisco, CA",Y,87.69,Software (B2B SaaS - mortgage/real estate clo,https://jobs.ashbyhq.com/snapdocs/d725e93c-e215-461f-9468-4bc7caf1a506,2026-06-30,2026-06-10,Remote,Verified
Singular,,,Account Executive,MM/Ent,"San Francisco, CA",Y,87.05,Software (mobile marketing analytics),https://jobs.ashbyhq.com/singular/2eef2b4a-8db5-4340-a600-050119b35c98,2026-06-30,2026-05-18,Remote,Verified
Popl,,Base $180K-$240K + commission (OTE not stated),Senior Account Executive,MM/Ent,"Los Angeles, CA",Y,94.93,Software,https://jobs.ashbyhq.com/popl/a3995bd3-9c3a-4f27-a099-a5b8730bd944,2026-06-30,2026-04-22,Remote,Verified
Parchment (Instructure),,$180K-$225K,"Senior Account Executive - Parchment, K12",MM,"Salt Lake City, UT",Y,88,Software (EdTech SaaS),https://jobs.ashbyhq.com/instructure/62dc4853-769d-4ce7-b260-5620fa5deaff,2026-06-30,,Remote,Verified
Nooks,,$230K,"Account Executive, Upsell",MM,"San Francisco, CA",Y,95.75,Software,https://jobs.ashbyhq.com/nooks/3286a58d-9b83-4243-8e7a-f10576be31df,2026-06-30,2026-03-30,Remote,Verified
Horizon3.ai,,$180K-$240K,"Mid-Enterprise Account Executive, Ohio Valley",MM/Ent,"San Francisco, CA",Y,89.56,Cybersecurity SaaS,https://jobs.ashbyhq.com/horizon3ai/c72d82d9-ec73-4163-9b8e-00be0623ae44,2026-06-30,2026-04-22,Remote,Verified
Garner Health,,"$200,000-$225,000",Senior Account Executive - Central,MM,"New York, NY",Y,90.11,Health Benefits / B2B SaaS,https://job-boards.greenhouse.io/garnerhealth/jobs/5651451004,2026-06-30,2025-09-19,Remote,Verified
Flockjay,,,,MM/MM-Ent,"San Francisco, CA",Y,88.22,B2B SaaS (Sales Enablement),https://www.ycombinator.com/companies/flockjay/jobs/Xbe2JkG-account-executive,2026-06-30,,Remote,Verified
Amplemarket,,,,MM,"San Francisco, CA",Y,95.97,Software,https://job-boards.eu.greenhouse.io/amplemarket/jobs/4823568101,2026-06-30,2026-03-26,Remote,Verified
Aligned,,"$220,000","Mid-Market Account Executive (Remote, North America)",MM,"Wilmington, DE",Y,88.37,Software (B2B SaaS - Digital Sales Rooms),https://job-boards.greenhouse.io/aligned/jobs/4685191101,2026-06-30,2025-10-02,Remote,Verified
Yipitdata,,Up to $210K ($125K-$135K base + 100% var,"Account Executive (Enterprise - Brands/Retail), Corporate",Ent,"New York, NY",Y,87.65,Finance / Data SaaS (alternative data for ent,https://job-boards.greenhouse.io/yipitdata/jobs/5585428,2026-06-30,2024-01-03,Remote,Verified
Tive Inc,,"Base $85,000-$100,000, uncapped bonus",,Ent,"Boston, MA",Y,90.44,Transportation / Supply Chain Visibility,https://ats.rippling.com/tive-careers/jobs/369db993-aacb-428d-bf85-2f35758b2064,2026-06-30,,Remote,Verified
Sprinto,,$140K-$200K,Enterprise Account Executive - APAC,Ent,"San Francisco, CA",Y,89.48,Security Compliance SaaS,https://jobs.lever.co/Sprinto/fc2529b5-2df9-4f59-8aa7-9fa60260bb43,2026-06-30,2026-02-10,Remote,Verified
Satori Cyber,,$300K-$320K,,Ent,"San Diego, CA",Y,87.08,Software (data security/cybersecurity SaaS),https://satoricyber.com/careers/enterprise-account-executive-locationus-east/,2026-06-30,,Remote,Needs check
Sanity,,,,Ent,"San Francisco, CA",Y,87.79,Software (Content Platform SaaS),https://www.sanity.io/careers/ae-usa,2026-06-30,,Remote,Verified
Rafay,,,,Ent,"Sunnyvale, CA",Y,87.36,Software,https://rafay.co/careers/enterprise-account-executive-us-remote,2026-06-30,,Remote,Verified
LettrLabs,,$245K-$265K,Enterprise Account Executive,Ent,"Denver, CO",Y,98.05,Professional / Business Services,https://job-boards.greenhouse.io/lettrlabs/jobs/4048815009,2026-06-30,2025-11-04,Remote,Verified
Kyriba,,$265K-$320K (base $147K-$186K),,Ent,"San Diego, CA",Y,87.08,Software (treasury/financial SaaS),https://kyriba.wd5.myworkdayjobs.com/en-US/Kyriba-Careers/job/Strategic-Account-Executive_R-06229,2026-06-30,,Remote,Verified
Jellyfish Co,,$280K-$330K (comp range stated; likely OTE),Strategic Account Executive - West Coast,Ent,"Boston, MA",Y,91.15,Software / B2B SaaS,https://jobs.ashbyhq.com/jellyfish/6d08e74c-0866-4b0b-a196-c1ee674bcba1,2026-06-30,2026-06-10,Remote,Verified
FMX,,,,Ent,"Columbus, OH",Y,89.01,Software,https://apply.workable.com/fmx/j/19BF5A3A6E,2026-06-30,,Remote,Verified
Doxel,,$220K-$320K,Enterprise Account Executive,Ent,"Redwood City, CA",Y,88.88,Software (AI construction tech),https://jobs.lever.co/doxel/ae7d9fa9-7a7e-4060-b810-db04d29aae66,2026-06-30,2026-01-13,Remote,Verified
Domino Data Lab,,$300K-$350K,,Ent,"San Francisco, CA",Y,86.37,Software,https://app.careerpuck.com/job-board/domino-data-lab/job/7815069?gh_jid=7815069,2026-06-30,,Remote,Verified
Cursor,,,"Account Executive, Geo Enterprise - San Francisco",Ent,"San Francisco, CA",Y,98.32,Software,https://jobs.ashbyhq.com/cursor/61e4677d-cf3d-458a-bf6c-02287d5d2c39,2026-06-30,2026-06-05,Remote,Verified
Creatio,,$240K-$310K,,Ent,"Boston, MA",Y,87.88,Software (No-code CRM/BPM SaaS),https://www.creatio.com/company/careers/job-openings/enterprise-account-executive-usa,2026-06-30,,Remote,Verified
Braintrust.dev,,,Strategic Account Executive (Central Region),Ent,"San Francisco, CA",Y,91.68,Software (B2B SaaS - AI Evaluation Platform),https://jobs.ashbyhq.com/braintrust/c3face66-22e6-4cde-bf72-f88f0387b498,2026-06-30,2026-04-21,Remote,Verified
AlphaSense,,$230K-$280K est. (base $99K-$155K + unca,"Account Executive, New Business",Ent,"New York, NY",Y,88.24,Software,https://job-boards.greenhouse.io/AlphaSense/jobs/8169790002,2026-06-30,2025-09-16,Remote,Verified
Webflow,336,,Corporate Account Executive - East,MM,San Francisco,Y,80,Website builder / digital experience,https://job-boards.greenhouse.io/webflow/jobs/6124408,2026-06-23,2024-08-21,Remote,Verified
Pigment,390,~$200-320K,Corporate Account Executive - East,MM/Ent,Paris / US,Y,90,FP&A / business planning SaaS,https://jobs.lever.co/pigment/ffcd4bd3-b8c0-4778-a545-49d70511ed72,2026-06-23,2026-06-02,Remote,Verified
Vantage,25,$160-320K,Commercial Account Executive,MM/Ent,Brooklyn NY,Y,72,Cloud cost / FinOps,https://jobs.ashbyhq.com/vantage/073eb88a-bc36-4ffe-bd4f-465bd53a1410,2026-06-19,2026-07-16,Remote,Verified
Trunk Tools,70,"$100,000-$120,000",Mid-Market/ Majors Sales Account Executive,MM/Ent,New York,Y,,Construction AI / project mgmt,https://jobs.ashbyhq.com/Trunk%20Tools/374c4cef-f34d-47ec-892d-b219e8222a66,2026-06-19,2026-04-27,Remote,Verified
Sumo Logic,346,~$176-206K,Mid-Market Account Executive,MM,Redwood City,Y,77,Cloud security / SIEM,https://job-boards.greenhouse.io/sumologic/jobs/7985960,2026-06-19,2026-06-09,Remote,Verified
Samsara,public,$152-190K,,MM,San Francisco,Y,86,Fleet / IoT telematics,https://www.samsara.com/company/careers/roles/7609126?gh_jid=7609126,2026-06-19,,Remote,Verified
