Company,Funding ($M),OTE,Segment,HQ,Remote,RepVue,Industry,Job Posting URL,Date Added,Posted,Location,Status
Neo4j,,$200-240K,Ent,San Mateo CA,Y,,Graph database SaaS,https://job-boards.greenhouse.io/neo4j/jobs/4695343006,2026-07-12,2026-07-07,Remote,Verified
Mabl,,,Ent,Boston MA,Y,,Test automation SaaS,https://job-boards.greenhouse.io/mabl/jobs/4058012009,2026-07-12,2025-11-12,Remote,Verified
CloudZero,,$320K,Ent,Boston MA,Y,,Cloud cost management SaaS,https://jobs.ashbyhq.com/cloudzero/c8076321-29ec-4fab-b1e3-7b21b80bf710,2026-07-12,2026-02-02,Remote,Verified
Chainguard,,$250K,Ent,Kirkland WA,Y,,Supply chain security SaaS,https://job-boards.greenhouse.io/chainguard/jobs/4676423006,2026-07-12,2026-06-12,Remote,Verified
Anomali,,,Ent,Redwood City CA,Y,,Cybersecurity / Threat Intelligence SaaS,https://jobs.lever.co/anomali/d0ea6e36-b44e-4b4d-9c9a-a3e6f55093d7,2026-07-12,2026-07-02,Remote,Verified
Acquia,,,Ent,"Boston, MA",Y,,Content management / DXP SaaS,https://job-boards.greenhouse.io/acquia/jobs/7976489,2026-07-12,2026-06-15,Remote,Verified
ProRata.ai,,$250-300K,MM/Ent,,Y,,AI Advertising / MarTech SaaS,https://jobs.ashbyhq.com/prorata/201c8dd7-2e65-4286-b98b-804b1b13dca2,2026-07-11,2026-04-06,Remote,Verified
FeedbackFruits,,$180-220K,MM/Ent,Amsterdam,Y,,EdTech / student engagement SaaS,https://jobs.ashbyhq.com/feedbackfruits/97fb6786-3eed-4851-b756-666e0388d3ce,2026-07-11,2026-06-26,Remote,Verified
CoderPad,,$200-225K,MM/Ent,San Francisco,Y,87.32,Technical assessment / developer hiring SaaS,https://jobs.lever.co/coderpad/7ffb00f1-8219-48bb-915a-daa96ecae87c,2026-07-11,2026-05-18,Remote,Verified
Prove,,,Ent,"New York, NY",Y,,Identity Verification SaaS,https://job-boards.greenhouse.io/prove/jobs/6104167004,2026-07-11,2026-07-02,Remote,Verified
PayZen,,$150-195K,Ent,"San Francisco, CA",Y,,Healthcare Payment SaaS,https://jobs.ashbyhq.com/payzen-inc/dd718dc0-5f53-4036-8296-430de408dbfe,2026-07-11,2026-04-09,Remote,Verified
Muck Rack,,$175K+,Ent,"New York, NY",Y,,PR / media intelligence SaaS,https://job-boards.greenhouse.io/muckrack/jobs/8595088002,2026-07-11,2026-06-16,Remote,Verified
Granica,,,Ent,"Mountain View, CA",Y,,AI Data Infrastructure SaaS,https://jobs.ashbyhq.com/granica/3769e2b2-b7e3-4efe-9511-c05f9bbce9ef,2026-07-11,2026-03-05,Remote,Verified
ActivTrak,,,Ent,"Austin, TX",Y,,Workforce Analytics SaaS,https://apply.workable.com/activtrak/j/0AB614ED4C,2026-07-11,,Remote,Verified
Outreach,,,MM,"Seattle, WA",Y,,Sales engagement / GTM SaaS,https://jobs.lever.co/outreach/a60fb104-ce93-4ba0-8763-ffb075b3eed1,2026-07-10,2026-06-29,Remote,Verified
GaggleAMP,,$160K+,MM,,Y,,Employee advocacy / social amplification SaaS,https://apply.workable.com/gaggleamp/j/C1C77F877C,2026-07-10,,Remote,Verified
AtoB,,,MM,San Francisco,Y,88,Fleet payments / fintech-SaaS,https://jobs.ashbyhq.com/atob/454a93d2-c70a-4138-ab2d-99ebc2b11fbb,2026-07-10,2026-05-21,Remote,Verified
WorkWave,,$190-250K,Ent,"Holmdel, NJ",Y,,Field service management SaaS,https://jobs.lever.co/workwave/5525aad1-2028-4d7b-855e-849c8fb4a79d,2026-07-10,2026-06-15,Remote,Verified
Propelus,,$200K-$300K,Ent,"Denver, CO",Y,87.72,Healthcare Compliance SaaS,https://jobs.ashbyhq.com/propelus/5b0904e1-68dc-471c-b6f4-d4d0e6aa090d,2026-07-10,2025-12-19,Remote,Verified
Oversee,,$180-220K,Ent,,Y,,Travel spend optimization SaaS,https://apply.workable.com/oversee-1/j/9CD356F5D8,2026-07-10,,Remote,Verified
BriteCore,,,Ent,,Y,,P&C insurance SaaS,https://jobs.lever.co/britecore/92826599-37d4-4967-a282-5b6009e1c9f7,2026-07-10,2024-11-06,Remote,Verified
Bluesight,,$200-220K+,Ent,,Y,,Healthcare / medication intelligence SaaS,https://jobs.lever.co/bluesight/aa4a33af-c2b4-44b2-8179-dbf1752d172a,2026-07-10,2026-05-01,Remote,Verified
Swapcard,,,MM,Paris France,Y,,Event management SaaS,https://jobs.lever.co/swapcard/0787516a-c547-4f84-9cf1-fdf8f7f59717,2026-07-09,2023-12-06,Remote,Verified
Subtotal,,$160-190K,MM/Ent,,Y,,Retail commerce data SaaS,https://jobs.ashbyhq.com/subtotal/fd9f9dc7-2b99-4f9b-acfb-245c7e772c66,2026-07-09,2026-05-20,Remote,Verified
Spekit,,$170-240K,MM,,Y,,Sales enablement / digital adoption SaaS,https://jobs.ashbyhq.com/spekit/ce632f8a-5b01-4382-984c-740d7f1975d6,2026-07-09,2026-03-03,Remote,Verified
Resilinc,,$300-320K,Ent,,Y,,Supply chain risk management SaaS,https://jobs.lever.co/resilinc/372e9550-2c15-4367-b639-86b08d4d9ac8,2026-07-09,2026-04-01,Remote,Verified
Ketch,,~$300-350K,Ent,Chicago IL,Y,90.57,Data privacy / compliance SaaS,https://jobs.lever.co/Ketch/f0555719-d15c-45b6-8564-06717c151669,2026-07-09,2026-05-17,Remote,Verified
Gray Swan AI,,$314-384K,Ent,Pittsburgh PA,Y,,AI security SaaS,https://jobs.ashbyhq.com/Gray%20Swan%20AI/23c94780-c876-4bf6-8d1e-09dc6156b274,2026-07-09,2026-07-08,Remote,Verified
Edia,,,Ent,,Y,,K-12 edtech / AI platform,https://jobs.ashbyhq.com/edia/e25f3465-ec2e-4502-af42-b84adb7264e9,2026-07-09,2025-12-01,Remote,Verified
Cloudforce,,$200K+,Ent,National Harbor MD,Y,,AI platform for higher-ed / regulated industries,https://jobs.lever.co/go-cloudforce/2e145d01-f423-4049-b135-ed796270e577,2026-07-09,2026-05-14,Remote,Verified
Trackforce,,,MM,Montréal QC,Y,,Security workforce management SaaS,https://jobs.lever.co/tracktik/19d81252-e313-447d-97a3-aefc142d4814,2026-07-08,2026-05-05,Remote,Verified
OfficeSpace Software,,,MM,,Y,,workplace management SaaS,https://job-boards.greenhouse.io/officespacesoftware/jobs/5166663008,2026-07-08,2026-03-31,Remote,Verified
LTK,,,MM/Ent,Dallas TX,Y,92.73,Creator/influencer marketing platform,https://job-boards.greenhouse.io/shopltk/jobs/7797682003,2026-07-08,2026-07-07,Remote,Verified
Atrium Campus,,,MM/Ent,,Y,,campus management / higher ed SaaS,https://job-boards.greenhouse.io/atriumcampus/jobs/4178770009,2026-07-08,2026-03-11,Remote,Verified
Adaptive Security,,,MM/Ent,New York,Y,94.51,Cybersecurity SaaS,https://jobs.ashbyhq.com/adaptivesecurity/84d1c461-df52-443e-b450-370429f9a7c6,2026-07-08,2025-07-18,Remote,Verified
Loop,,~$241K,Ent,Columbus OH,Y,,ecommerce returns SaaS,https://jobs.lever.co/loopreturns/3e1f7655-ee7e-464c-89fc-b96172cdafc1,2026-07-08,2026-04-21,Remote,Verified
Dash0,,~$250K-$300K,Ent,Hamburg Germany,Y,,Observability / DevOps SaaS,https://jobs.ashbyhq.com/dash0/4dca86e7-eaa7-4e70-bd55-edf2acd9675c,2026-07-08,2025-09-08,Remote,Verified
Aerospike,,$230-300K,Ent,,Y,,database / real-time data SaaS,https://job-boards.greenhouse.io/aerospike/jobs/8590366002,2026-07-08,2026-06-12,Remote,Verified
Acceldata,,,Ent,San Jose,Y,93.96,Data observability,https://jobs.lever.co/acceldata/d30b142c-545e-4da7-a370-d9af33261373,2026-07-08,2024-01-20,Remote,Verified
doinstruct,18,$200-300K,MM/Ent,Germany (US-remote team),Y,,Frontline workforce training SaaS,https://jobs.ashbyhq.com/doinstruct/0be59ea1-c026-4845-a57b-7fa9ee76a2c7,2026-07-07,2026-03-03,Remote,Verified
Teramind,,,MM,,Y,,Software (Cybersecurity / Insider Threat),https://jobs.lever.co/teramind/31ae16da-b776-4232-8a59-67a56811d284,2026-07-07,2026-03-19,Remote,Verified
Taxwire,,$200-250K,MM,"New York, NY",Y,,Indirect tax compliance SaaS,https://jobs.ashbyhq.com/taxwire/c00267d1-544c-4ab6-b677-1d91c6cef21a,2026-07-07,2026-06-30,Remote,Verified
SentiLink,,$200-250K,MM,,Y,,Software (Identity Verification / Fintech),https://jobs.ashbyhq.com/sentilink/042f6536-1aa2-4509-9a3a-82129fcbbbc3,2026-07-07,2026-05-29,Remote,Verified
Rithum,,,MM,,Y,,Software (eCommerce / Retail Media),https://job-boards.greenhouse.io/rithum/jobs/8024519,2026-07-07,2026-06-24,Remote,Verified
Restaurant365,,,MM,,Y,,Software (Restaurant Management),https://jobs.lever.co/restaurant365/784eafb3-7f63-4896-8742-03bcdcda19b5,2026-07-07,2026-04-06,Remote,Verified
Prokeep,,$225K-$260K,MM/Ent,,Y,,Distribution SaaS (contractor/distributor comm),https://jobs.ashbyhq.com/prokeep/3f5857e6-e762-4e69-85bf-70afa252e9c4,2026-07-07,2026-07-13,Remote,Verified
Mimica,,,MM,,Y,,Software (Process Automation / Task Mining),https://jobs.ashbyhq.com/mimica/639bb362-4417-467f-a7fa-525af7d4dcf4,2026-07-07,2026-04-14,Remote,Verified
Vibes,,base $120K-$240K + comm (OTE unstated),Ent,"Chicago, IL",Y,,Mobile marketing / CX SaaS,https://job-boards.greenhouse.io/vibesllc/jobs/8114692002,2026-07-07,2025-08-12,Remote,Verified
Highlight,,$230K-$250K,Ent,,Y,,Consumer Product Research / B2B SaaS,https://jobs.lever.co/Highlight/f8f4e4fb-5b83-4808-9226-1c01c9838eff,2026-07-07,2025-02-16,Remote,Verified
Finix,,$200-300K,Ent,,Y,,Software (Payments Infrastructure),https://jobs.lever.co/finix/44827c17-871d-4db4-9fc5-81783971f98b,2026-07-07,2021-08-03,Remote,Verified
Second Nature,,$175K-$240K,MM,"Salt Lake City, UT",Y,,Property Management SaaS,https://jobs.ashbyhq.com/second-nature/68f240e8-4b92-4ed0-8c32-b854d77d9e23,2026-07-06,2026-07-06,Remote,Verified
Agiloft,,,MM,"Redwood City, CA",Y,,Contract lifecycle management (CLM) SaaS,https://jobs.lever.co/agiloft/8541d83d-bf74-4cc8-aaed-35c88a9bf084,2026-07-06,2026-05-08,Remote,Verified
Sendbird,,$260K-$300K,Ent,"San Mateo, CA",Y,,Messaging / chat API SaaS,https://job-boards.greenhouse.io/sendbird/jobs/8387308002,2026-07-06,2026-01-22,Remote,Verified
Medallion,,$290-320K,Ent,"San Francisco, CA",Y,,Healthcare SaaS,https://job-boards.greenhouse.io/medallionakafirstlayerai/jobs/4056201009,2026-07-06,2025-11-24,Remote,Verified
DataGrail,,$260K-$290K,Ent,"San Francisco, CA",Y,,Data privacy / compliance SaaS,https://job-boards.greenhouse.io/datagrail/jobs/7778458003,2026-07-06,2026-06-18,Remote,Verified
Later,,$250K–$300K,MM/Ent,"Vancouver, BC",Y,,Influencer marketing / social media SaaS,https://job-boards.greenhouse.io/later/jobs/8206711002,2026-07-05,2025-10-09,Remote,Verified
"Tellius, Inc.",,,Ent,,Y,,AI analytics / decision intelligence SaaS,https://job-boards.greenhouse.io/tellius/jobs/4826311007,2026-07-05,2025-08-12,Remote,Verified
Envoy Global,,~$175K,Ent,"Chicago, IL",Y,,Immigration management SaaS,https://job-boards.greenhouse.io/envoyglobalinc/jobs/6000245004,2026-07-05,2026-05-20,Remote,Verified
Eleos Health,,,Ent,Burlington MA,Y,,Behavioral health SaaS,https://job-boards.eu.greenhouse.io/eleoshealth/jobs/4791600101,2026-07-05,2026-02-26,Remote,Verified
Infisical,19,,MM,San Francisco,Y,,Secrets mgmt / security infra,https://jobs.ashbyhq.com/infisical/1c7943a5-81b9-48dd-a355-bab3492399f1,2026-07-04,2026-05-22,Remote,Verified
Grace Hill,,$145K,MM,,Y,,Property management SaaS,https://gracehill.applytojob.com/apply/pCSI71nTid/Account-Executive,2026-07-04,,Remote,Verified
Fello,,,MM,,Y,,Real estate marketing / CRM SaaS,https://fello.rippling-ats.com/job/776922/senior-account-executive,2026-07-04,,Remote,Verified
Dovetail,,,MM,"Sydney, Australia",Y,,User research / product insights SaaS,https://jobs.ashbyhq.com/dovetail/f963c62b-100d-47df-b5aa-954464065bb2,2026-07-04,2026-05-29,Remote,Verified
Bitwarden,100,,MM,"Santa Barbara, CA",Y,,Security SaaS (password management),https://bitwarden.com/careers/7789818003/?gh_jid=7789818003,2026-07-04,,Remote,Verified
Retool,350,$180-350K base,Ent,San Francisco,Y,84,Internal-tools / app dev,https://retool.com/careers/account-executive-enterprise-east--sales--united-states-remote,2026-07-04,,Remote,Verified
Pushpay,,$180K-$200K,Ent,"Redmond, WA",Y,,Donor engagement SaaS (faith organizations),https://job-boards.greenhouse.io/pushpay/jobs/8051229,2026-07-04,2026-07-08,Remote,Verified
Onshape (PTC),,,Ent,"Boston, MA",Y,,CAD / Engineering SaaS,https://ptc.wd1.myworkdayjobs.com/en-US/PTC/job/Strategic-Account-Executive---Onshape_JR110032,2026-07-04,,Remote,Needs check
Lumos,,,Ent,"San Francisco, CA",Y,,SaaS management / app governance,https://jobs.ashbyhq.com/lumos/29e2c4e5-d7c8-4e00-9c51-9aad8509a9c3,2026-07-04,2025-12-05,Remote,Verified
Deepgram,215,$300-340K,Ent,San Francisco,Y,96,Voice AI / speech infra,https://jobs.ashbyhq.com/Deepgram/91ea80f4-cc54-4c52-8ef5-d2c2b2764640,2026-07-04,2025-09-05,Remote,Verified
DailyPay,,,Ent,"New York, NY",Y,,Earned wage access / HR benefits SaaS,https://jobs.ashbyhq.com/dailypay/85c57e2b-2535-4f66-91b5-d36f71dda1ce,2026-07-04,2026-06-17,Remote,Verified
ControlUp,,,MM,"Santa Clara, CA",Y,,Software (IT Operations / Digital Employee Experience SaaS),https://jobs.lever.co/controlup/59b39087-15e5-4ea5-ba36-e68e10863053,2026-07-03,2026-04-24,Remote,Verified
Classy.org (GoFundMe Pro),,$135K-$200K,MM,"San Diego, CA",Y,,Nonprofit Fundraising SaaS,https://job-boards.greenhouse.io/gofundme/jobs/7398335,2026-07-03,2025-11-26,Remote,Verified
Addepar,415,,MM,"Mountain View, CA",Y,,Wealth management / investment data SaaS,https://job-boards.greenhouse.io/addepar1/jobs/8425969002,2026-07-03,2026-06-25,Remote,Verified
Smarsh,,,Ent,"Portland, OR",Y,,Compliance archiving B2B SaaS (financial services),https://jobs.lever.co/smarsh/cd0167b4-bdc3-49f6-b215-e267efed3365,2026-07-03,2026-03-19,Remote,Verified
Northspyre,,$250K+,Ent,"Atlanta, GA",Y,,Construction / Real Estate Development SaaS,https://job-boards.greenhouse.io/northspyre/jobs/7774971003,2026-07-03,2026-06-16,Remote,Verified
NinjaOne,231,,Ent (SLED),"Austin, TX",Y,,IT management SaaS (MSP/endpoint),https://jobs.jobvite.com/ninjaone/job/oCanAfwt,2026-07-03,,Remote,Verified
Fonoa,,,Ent,"Dublin, Ireland (US remote team)",Y,,Tax automation SaaS,https://jobs.ashbyhq.com/fonoa/17d99b1a-5177-488c-b485-6db96ee02bc6,2026-07-03,2026-05-08,Remote,Verified
Fieldguide,,$280K-$340K (base $140K-$170K 50/50),Ent,"San Francisco, CA",Y,,Audit/advisory workflow SaaS,https://jobs.ashbyhq.com/fieldguide/577d105c-eba7-4c2d-af9d-3a1cf7a92c3a,2026-07-03,2025-12-12,Remote,Verified
CreatorIQ,,,Ent,"Los Angeles, CA",Y,,Software (B2B Influencer Marketing / Creator Intelligence SaaS),https://jobs.ashbyhq.com/creatoriq/123df564-db11-46f0-b59a-0659b1491ce4,2026-07-03,2026-05-04,Remote,Verified
Zapier,,$180-230K,MM,"San Francisco, CA (fully remote)",Y,83.77,Software (Workflow Automation B2B SaaS),https://jobs.ashbyhq.com/zapier/d4576c10-a27e-47fa-a056-30c898b9e672,2026-07-02,2026-04-09,Remote,Verified
Widewail,,$140K,MM,"Burlington, VT",Y,83.25,Software,https://ats.rippling.com/widewail/jobs/c0b9e2d9-98f3-4d39-8a74-430e0eb9e93a,2026-07-02,,Remote,Verified
TrustArc,,,MM/Ent,"San Francisco, CA",Y,83.54,Software (Data Privacy SaaS),https://jobs.lever.co/trustarc/86de7104-e6a0-4a23-953d-7c7b66ac514b,2026-07-02,2026-04-29,Remote,Verified
Procore Technologies,,$174K–$240K,MM,"Carpinteria, CA",Y,83.20,Software,https://careers.procore.com/jobs/commercial-account-executive-us-remote-ma-massachusetts-united-states,2026-07-02,,Remote,Verified
Portnox,,,MM/MM-Ent,"Austin, TX (R&D Israel)",Y,83.17,Information Technology and Services,https://portnox.pinpointhq.com/jobs/209552,2026-07-02,,Remote,Verified
Figma,,,MM,"San Francisco, CA",Y,83.82,Software,https://job-boards.greenhouse.io/figma/jobs/5422236004,2026-07-02,2025-01-22,Remote,Verified
Datarails,,,MM,New York,Y,83,FP&A software,https://job-boards.greenhouse.io/datarails/jobs/4302569009,2026-07-02,2026-07-02,Remote,Verified
Verse.ai,,$290K–$350K,Ent,"San Francisco, CA",Y,83.34,Energy Intelligence Software (B2B SaaS),https://job-boards.greenhouse.io/verse/jobs/5158103008,2026-07-02,2026-03-18,Remote,Verified
Superside,,~$235K (RepVue median),Ent,"San Francisco, CA",Y,83.87,Professional / Business Services,https://careers.superside.com/jobs/enterprise-account-executive,2026-07-02,,Remote,Verified
Obsidian Security,,,Ent,"Newport Beach, CA",Y,83.16,Software,https://job-boards.greenhouse.io/obsidiansecurity/jobs/4822499008,2026-07-02,2025-08-27,Remote,Verified
Forma.ai,,,Ent,Toronto,Y,83,Sales performance management,https://job-boards.greenhouse.io/formaaiinc/jobs/4295669005,2026-07-02,2023-07-18,Remote,Verified
Datch,,,Ent,"San Francisco, CA",Y,83.60,Software,https://www.datch.io/jobs/account-executive,2026-07-02,,Remote,Verified
ClickUp,,,Ent,San Diego,Y,83,Productivity / work management,https://jobs.ashbyhq.com/clickup/b7c38a60-b46d-475a-b15b-757421abfc03,2026-07-02,2026-06-18,Remote,Verified
Akamai,,"$157,900–$328,100",Ent,"Cambridge, MA",Y,83.15,Software,https://jobs.akamai.com/en/sites/CX_1/job/1545,2026-07-02,,Remote,Verified
Adthena,,,Ent,Austin / London,Y,83,Search intelligence,https://jobs.ashbyhq.com/adthena/29939a07-c944-4535-9252-daae6c2e55d4,2026-07-02,2026-06-26,Remote,Verified
Active Network (Global Payments),,,Ent,"Atlanta, GA",Y,83.46,Software (Recreation Management SaaS),https://jobs.globalpayments.com/en/jobs/r0069162/senior-account-executive-enterprise/,2026-07-02,,Remote,Verified
Vividly,,$200K,MM/Ent,"San Francisco, CA",Y,84.20,Software,https://ats.rippling.com/vividly/jobs/70e228c8-d43e-49fd-b935-706f43b07323,2026-07-01,,Remote,Verified
OnBoard,,,MM,"Indianapolis, IN",Y,84.83,Software,https://job-boards.greenhouse.io/onboardmeetings/jobs/6098585004,2026-07-01,2026-06-22,Remote,Verified
Breezeway,,,MM/Ent,"Boston, MA",Y,85.09,Internet / Hospitality SaaS,https://job-boards.greenhouse.io/breezeway/jobs/5231813008,2026-07-01,2026-05-26,Remote,Verified
Bloomerang,,$145K,MM,"Indianapolis, IN",Y,84.14,Software (Nonprofit Donor Management SaaS),https://job-boards.greenhouse.io/bloomerang/jobs/4676861005,2026-07-01,2026-03-24,Remote,Verified
AssetWatch,,,MM,"Charlotte, NC",Y,85.24,Manufacturing / IoT SaaS,https://job-boards.greenhouse.io/assetwatch/jobs/4633800005,2026-07-01,2025-11-25,Remote,Verified
Vertex Inc.,,$160K–$300K,Ent,"King of Prussia, PA",Y,85.83,Software (Tax Technology SaaS),https://builtin.com/company/vertex/jobs,2026-07-01,,Remote,Verified
Verifiable,,,Ent,"Austin, TX (fully remote)",Y,84.88,Healthcare Credentialing SaaS,https://jobs.lever.co/verifiable/5a01eded-7e4c-473d-8dd5-0711cd08ebb0,2026-07-01,2025-08-05,Remote,Verified
Varicent,,,Ent,"Toronto, Canada",Y,85.76,Software (Sales Performance Management),https://job-boards.greenhouse.io/varicent/jobs/4826237008,2026-07-01,2025-08-06,Remote,Verified
Turquoise Health,,$220K–$245K,Ent,"San Diego, CA (fully remote company)",Y,84.93,Healthcare SaaS / Price Transparency,https://jobs.ashbyhq.com/turquoise-health/a25eb0dd-89bd-4a59-94a2-f8439fe3f10b,2026-07-01,2026-03-18,Remote,Verified
Taulia,,,Ent,"San Francisco, CA",Y,86.21,Finance / Fintech SaaS,https://careers.taulia.com/job/Regional-Account-Executive-%28Midwest%29/1354118500/,2026-07-01,,Remote,Verified
Smartling,,"$200,000–$240,000",Ent,"New York, NY",Y,84.46,Software,https://job-boards.greenhouse.io/smartling/jobs/7438991,2026-07-01,2025-12-03,Remote,Verified
Runway,,$250K–$300K,Ent,"New York, NY",Y,84.98,Software,https://jobs.ashbyhq.com/runway-ml/0a79e4be-d7ea-4d43-9400-33a23f552b81,2026-07-01,2025-07-07,Remote,Verified
Juniper Square,,,Ent,"San Francisco, CA",Y,85.00,Information Technology and Services,https://jobs.ashbyhq.com/junipersquare/f4864a91-dfc8-47f4-b0af-ae3fb3f65557,2026-07-01,2026-04-21,Remote,Verified
FireMon,,,Ent,"Overland Park, KS",Y,85.31,Software (Cybersecurity),https://jobs.lever.co/firemon/c5c7c67f-617d-4740-ba8c-94d071de60ee,2026-07-01,2026-02-17,Remote,Verified
Endor Labs,,$240K–$320K,Ent,"Palo Alto, CA",Y,84.84,Software / Application Security,https://job-boards.greenhouse.io/endorlabs/jobs/4704667005,2026-07-01,2026-06-10,Remote,Verified
Crunchtime (Zenput),,$200K–$240K,Ent,"Boston, MA",Y,79.59,Restaurant Operations SaaS,https://boards.greenhouse.io/zenput/jobs/5792748004,2026-07-01,2026-02-04,Remote,Verified
BuildOps,,$280K–$300K,Ent,"Los Angeles, CA",Y,84.75,Software,https://job-boards.greenhouse.io/buildops/jobs/5818344004,2026-07-01,2026-03-03,Remote,Verified
AcuityMD,,"$240,000–$300,000",Ent,"Boston, MA",Y,84.53,Medical Device SaaS,https://job-boards.greenhouse.io/acuitymd/jobs/5722026004,2026-07-01,2025-11-25,Remote,Verified
UserGems,,$192K,MM,"San Francisco, CA",Y,94.37,Software,https://job-boards.greenhouse.io/usergems/jobs/4277949004,2026-06-30,2022-01-03,Remote,Verified
Tremendous,,$160K,MM,"New York, NY",Y,93.16,Software,https://jobs.ashbyhq.com/tremendous/4aee93f6-d28c-4c29-93e1-0440cbac6968,2026-06-30,2026-05-08,Remote,Verified
Tekmetric,,,MM,"Austin, TX",Y,89.02,Software,https://job-boards.greenhouse.io/tekmetric/jobs/6016176004,2026-06-30,2026-06-10,Remote,Verified
Stripe,,$239K–$358K,MM/Ent,"San Francisco, CA",Y,87.83,Internet / Fintech SaaS (Payments Infrastruct,https://stripe.com/jobs/search?gh_jid=7298935,2026-06-30,,Remote,Verified
Snapdocs,,$250K ($125K base + $125K variable),MM,"San Francisco, CA",Y,87.69,Software (B2B SaaS - mortgage/real estate clo,https://jobs.ashbyhq.com/snapdocs/428f417c-d769-4154-bc24-47f2c727505f,2026-06-30,2026-06-05,Remote,Verified
Singular,,,MM/Ent,"San Francisco, CA",Y,87.05,Software (mobile marketing analytics),https://jobs.ashbyhq.com/singular/2eef2b4a-8db5-4340-a600-050119b35c98,2026-06-30,2026-05-18,Remote,Verified
QA Wolf,,$200K–$280K,MM,"San Francisco, CA",Y,94.63,Software,https://jobs.ashbyhq.com/qawolf/0de41761-2f0d-4c6d-8977-e81adf516cd9,2026-06-30,2026-04-21,Remote,Verified
Postman,,$180-230K,MM,San Francisco,Y,,API development platform,https://job-boards.greenhouse.io/postman/jobs/7722321003,2026-06-30,2026-05-01,Remote,Verified
Popl,,Base $180K–$240K + commission (OTE not stated),MM/Ent,"Los Angeles, CA",Y,94.93,Software,https://jobs.ashbyhq.com/popl/a3995bd3-9c3a-4f27-a099-a5b8730bd944,2026-06-30,2026-04-22,Remote,Verified
Parchment (Instructure),,$180K–$225K,MM,"Salt Lake City, UT",Y,,Software (EdTech SaaS),https://jobs.ashbyhq.com/instructure/01f00df3-de5e-4144-8d89-c2374359d2b2,2026-06-30,2026-04-27,Remote,Verified
Nooks,,$230K,MM,"San Francisco, CA",Y,95.75,Software,https://jobs.ashbyhq.com/nooks/3286a58d-9b83-4243-8e7a-f10576be31df,2026-06-30,2026-03-30,Remote,Verified
NeuraFlash,,,MM/Ent,"Needham, MA",Y,89.52,Salesforce/AWS Consulting SaaS,https://job-boards.greenhouse.io/neuraflash/jobs/6013420004,2026-06-30,2026-06-03,Remote,Verified
Maxwell,,$120K–$220K (base $80K–$110K at 1.5–2x),MM,"Denver, CO",Y,95.17,Software (Mortgage Tech SaaS),https://job-boards.greenhouse.io/maxwell/jobs/4683224005,2026-06-30,2026-04-09,Remote,Verified
